student_id,name,wants_ac,wants_dining,wants_kitchen,wants_private_bathroom,_ingested_at
1,Alice Johnson,TRUE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
2,Bob Johnson,TRUE,TRUE,TRUE,TRUE,2026-08-12T00:00:00Z
3,Charlie Johnson,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
4,Diana Johnson,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
5,Ethan Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
6,Fatima Johnson,FALSE,TRUE,TRUE,FALSE,2026-08-12T00:00:00Z
7,Gabriel Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
8,Hannah Johnson,TRUE,FALSE,FALSE,TRUE,2026-08-12T00:00:00Z
9,Isaac Johnson,FALSE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
10,Julia Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
11,Kevin Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
12,Laura Johnson,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
13,Mateo Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
14,Nora Johnson,TRUE,TRUE,TRUE,FALSE,2026-08-12T00:00:00Z
15,Oliver Johnson,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
16,Priya Johnson,TRUE,FALSE,TRUE,TRUE,2026-08-12T00:00:00Z
17,Quentin Johnson,TRUE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
18,Rosa Johnson,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
19,Samuel Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
20,Tania Johnson,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
21,Uma Johnson,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
22,Victor Johnson,TRUE,TRUE,TRUE,FALSE,2026-08-12T00:00:00Z
23,Wendy Johnson,TRUE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
24,Xavier Johnson,FALSE,FALSE,TRUE,TRUE,2026-08-12T00:00:00Z
25,Yasmin Johnson,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
26,Zachary Johnson,FALSE,TRUE,TRUE,TRUE,2026-08-12T00:00:00Z
27,Elena Johnson,FALSE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
28,Daniel Johnson,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
29,Sofia Johnson,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
30,Lucas Johnson,FALSE,TRUE,TRUE,FALSE,2026-08-12T00:00:00Z
31,Alice Smith,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
32,Bob Smith,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
33,Charlie Smith,FALSE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
34,Diana Smith,FALSE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
35,Ethan Smith,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
36,Fatima Smith,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
37,Gabriel Smith,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
38,Hannah Smith,FALSE,TRUE,TRUE,FALSE,2026-08-12T00:00:00Z
39,Isaac Smith,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
40,Julia Smith,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
41,Kevin Smith,FALSE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
42,Laura Smith,FALSE,TRUE,TRUE,TRUE,2026-08-12T00:00:00Z
43,Mateo Smith,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
44,Nora Smith,TRUE,FALSE,TRUE,TRUE,2026-08-12T00:00:00Z
45,Oliver Smith,FALSE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
46,Priya Smith,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
47,Quentin Smith,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
48,Rosa Smith,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
49,Samuel Smith,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
50,Tania Smith,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
51,Uma Smith,FALSE,FALSE,FALSE,TRUE,2026-08-12T00:00:00Z
52,Victor Smith,TRUE,FALSE,FALSE,TRUE,2026-08-12T00:00:00Z
53,Wendy Smith,TRUE,FALSE,FALSE,TRUE,2026-08-12T00:00:00Z
54,Xavier Smith,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
55,Yasmin Smith,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
56,Zachary Smith,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
57,Elena Smith,FALSE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
58,Daniel Smith,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
59,Sofia Smith,TRUE,FALSE,FALSE,TRUE,2026-08-12T00:00:00Z
60,Lucas Smith,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
61,Alice Kim,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
62,Bob Kim,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
63,Charlie Kim,FALSE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
64,Diana Kim,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
65,Ethan Kim,TRUE,FALSE,FALSE,FALSE,2026-08-12T00:00:00Z
66,Fatima Kim,FALSE,TRUE,TRUE,TRUE,2026-08-12T00:00:00Z
67,Gabriel Kim,TRUE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
68,Hannah Kim,TRUE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
69,Isaac Kim,FALSE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
70,Julia Kim,TRUE,TRUE,TRUE,FALSE,2026-08-12T00:00:00Z
71,Kevin Kim,TRUE,TRUE,FALSE,FALSE,2026-08-12T00:00:00Z
72,Laura Kim,FALSE,FALSE,TRUE,FALSE,2026-08-12T00:00:00Z
73,Mateo Kim,TRUE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
74,Nora Kim,TRUE,TRUE,FALSE,TRUE,2026-08-12T00:00:00Z
